OBST ID;TYPE;COORD;LAT;LONG;HGT AGL (FT);ELEV MSL (FT);LGT COLOR;LGT TYPE;LGT INTST;LGT HR;MARKINGS;Area of coverage;Identification of the data originator;Data source identifier;Horizontal accuracy (m);Horizontal confidence level (%);Horizontal resolution (m);Horizontal extent;Horizontal reference system;Vertical accuracy (m);Vertical confidence level (%);Vertical resolution (m);Vertical reference system;Geometry type;Unit of measurement;Integrity;Date and time stamp
EFINOB 10031;Mast;615550.99N 254354.33E;61.9308305888;25.7317584521;355;983;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;1.10.1987 0.00.00 +00:00
EFINOB 10037;Mast;621219.865N 253819.835E;62.2055180077;25.6388431849;397;1172;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;2.5.1995 0.00.00 +00:00
EFINOB 10038;Mast;622100.94N 253304.481E;62.3502611651;25.5512448577;337;1092;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;23.9.1991 0.00.00 +00:00
EFINOB 10047;Mast;621252.288N 254214.582E;62.2145245719;25.7040505717;529;1203;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1984 0.00.00 +00:00
EFINOB 10065;Mast;621423.218N 255359.157E;62.239782664;25.899765866;331;972;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1982 0.00.00 +00:00
EFINOB 10110;Mast;611652.864N 214153.668E;61.2813512272;21.6982410544;1054;1181;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1984 0.00.00 +00:00
EFINOB 10111;Mast;612850.444N 213408.802E;61.4806789754;21.5691118046;591;640;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;10.3.1988 0.00.00 +00:00
EFINOB 10112;Mast;614800.405N 222221.247E;61.8001124808;22.3725685107;361;678;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;29.10.1987 0.00.00 +00:00
EFINOB 10116;Mast;611144.598N 222831.343E;61.1957217603;22.4753731937;344;569;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1984 0.00.00 +00:00
EFINOB 10117;Mast;612336.31N 215135.645E;61.3934194021;21.8599015115;358;564;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1981 0.00.00 +00:00
EFINOB 10121;Chimney;613754.194N 212416.073E;61.631720516;21.4044648442;494;507;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1975 0.00.00 +00:00
EFINOB 10145;Mast;611433.414N 212550.501E;61.2426149343;21.4306946433;350;389;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1976 0.00.00 +00:00
EFINOB 10156;Chimney;611410.165N 212633.128E;61.2361568657;21.4425355429;345;356;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;19.6.1978 0.00.00 +00:00
EFINOB 10157;Chimney;611413.546N 212645.603E;61.2370960373;21.4460009336;345;357;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;19.6.1978 0.00.00 +00:00
EFINOB 10202;Chimney;612919.758N 214905.516E;61.488821583;21.8181987845;415;426;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1967 0.00.00 +00:00
EFINOB 10217;Mast;602649.393N 221955.945E;60.4470536012;22.3322070082;442;628;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1975 0.00.00 +00:00
EFINOB 10218;Mast;602359.558N 221745.786E;60.399877174;22.2960517346;458;614;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1984 0.00.00 +00:00
EFINOB 10232;Mast;603607.398N 212954.818E;60.6020549383;21.4985606206;356;439;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1984 0.00.00 +00:00
EFINOB 10241;Mast;604831.757N 212536.42E;60.8088213282;21.4267833753;329;385;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1984 0.00.00 +00:00
EFINOB 10249;Crane;602737.174N 220747.914E;60.4603259765;22.1299760107;345;345;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1976 0.00.00 +00:00
EFINOB 10273;Chimney;602729.071N 220310.442E;60.4580752633;22.0529006401;437;453;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;12.12.1990 0.00.00 +00:00
EFINOB 10368;Mast;621040.051N 291028.205E;62.1777919148;29.1745015061;352;864;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1977 0.00.00 +00:00
EFINOB 10370;Mast;615921.756N 291500.891E;61.9893766258;29.250247429;1057;1382;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1968 0.00.00 +00:00
EFINOB 10392;Mast;623818.41N 291423.284E;62.6384472917;29.2398012304;358;641;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;4.4.1986 0.00.00 +00:00
EFINOB 10412;Mast;623442.253N 294948.103E;62.5784035241;29.8300286754;413;747;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1984 0.00.00 +00:00
EFINOB 10428;Mast;622415.989N 303010.43E;62.4044414829;30.5028973611;397;1078;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;8.11.1982 0.00.00 +00:00
EFINOB 10439;Mast;630350.881N 294700.382E;63.0641337085;29.7834394759;906;1843;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;27.10.1982 0.00.00 +00:00
EFINOB 10446;Chimney;602213.769N 262050.644E;60.370491289;26.3474012034;347;357;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1974 0.00.00 +00:00
EFINOB 10471;Chimney;650020.502N 252558.316E;65.0056950778;25.4328656598;451;462;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1969 0.00.00 +00:00
EFINOB 10478;Chimney;650215.505N 252607.128E;65.0376403915;25.4353132673;434;451;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;6.6.1975 0.00.00 +00:00
EFINOB 10496;Chimney;650159.406N 253045.94E;65.0331683274;25.5127612184;338;407;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1972 0.00.00 +00:00
EFINOB 10501;Mast;644955.408N 255512.166E;64.8320578143;25.9200461681;378;519;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;26.2.1987 0.00.00 +00:00
